abd,age,fthr_ed,educ,log.wage
1,21,7,6,8.517393171
1,29,7,3,6.370471561
1,23,7,4,7.670361905
1,18,0,7,8.853808275
1,18,4,7,5.525452939
1,25,7,7,5.993961427
1,23,7,7,7.419180698
0,29,7,7,7.404800697
1,28,7,7,8.335111567
1,22,7,8,0
1,14,10,5,0
1,19,0,8,7.53689713
1,26,10,7,6.572682051
1,30,7,12,0
1,23,4,7,4.719490473
1,17,7,3,6.646690176
1,15,10,7,0
0,14,0,6,4.900324235
1,30,4,4,6.977681065
1,25,7,11,8.294299609
1,23,0,2,5.612132225
1,15,7,5,0
1,25,4,4,0
1,19,4,1,7.824445931
0,19,4,7,6.685860947
1,17,10,10,8.112028014
1,18,12,7,7.755481584
1,20,12,6,0
1,21,7,11,0
1,19,10,8,0
1,30,4,4,0
1,15,12,6,0
1,29,0,4,5.37196608
0,16,0,7,6.908754779
1,14,4,3,0
1,15,7,10,0
1,30,4,7,0
1,14,4,4,0
1,15,12,6,0
1,16,0,7,0
1,16,4,8,0
1,28,0,4,7.521401252
0,16,0,6,6.552507887
1,18,4,10,0
1,30,4,7,7.244941546
1,23,4,6,7.419180698
1,20,4,7,3.603165966
1,15,7,4,6.572682051
0,15,0,5,3.795000531
1,24,0,6,5.993961427
1,14,12,5,0
1,20,4,7,0
0,29,7,4,7.467942332
0,14,4,6,0
0,20,15,6,0
0,21,7,6,0
1,17,7,11,5.880931937
1,18,10,7,7.13169851
1,25,0,5,0
1,18,4,10,8.207310975
1,14,4,6,0
1,28,0,7,7.74109909
1,30,4,6,6.572682051
1,18,7,10,6.908754779
1,15,10,5,3.88401541
1,20,10,10,5.860786223
1,19,0,5,8.294299609
1,20,10,9,7.283135962
1,30,4,6,6.552507887
1,17,7,7,6.216606101
1,22,10,10,9.105090961
1,19,10,3,6.14775577
1,15,7,7,7.313886832
1,21,10,6,0
1,25,10,6,6.908754779
0,20,10,12,8.006700845
1,15,7,7,0
1,30,4,6,8.517393171
1,18,10,10,4.122515457
1,15,4,7,3.99951049
1,18,10,9,7.601402335
1,19,10,10,6.277113304
1,17,4,7,4.968820774
1,25,4,3,0
1,16,7,9,4.282600885
1,15,10,8,0
1,16,0,7,5.525452939
0,14,7,6,5.880931937
1,24,7,5,6.646690176
0,19,10,8,6.062788064
1,20,15,10,0
1,25,0,4,5.303304908
0,19,15,12,0
1,30,4,2,6.011617242
0,19,0,11,8.006700845
1,17,0,2,5.898900563
0,25,4,6,7.37268924
1,15,4,10,0
1,14,4,6,0
1,29,7,7,6.552507887
1,30,4,4,7.184766947
1,22,12,7,6.180312371
1,22,10,5,7.692330602
1,26,4,6,7.159847142
0,18,0,7,6.995682872
1,26,0,8,7.353081921
1,21,4,13,0
0,24,0,9,9.210440367
0,21,4,6,8.922791624
0,25,0,2,6.795545938
1,30,4,7,4.683453135
0,17,0,7,0
0,24,4,5,5.880931937
0,26,4,4,9.615872145
0,16,10,6,7.090909822
0,17,10,7,0
1,14,10,3,0
0,25,4,10,8.294299609
0,22,4,9,6.977681065
1,19,4,8,0
1,19,0,10,5.687374074
0,15,12,5,3.931825633
0,16,4,7,0
0,14,7,5,0
0,15,4,7,0
0,25,4,4,6.726632978
1,15,7,4,0
1,17,10,6,6.062788064
0,18,7,7,5.81213853
1,19,7,7,0
1,27,7,14,8.77971129
1,14,4,6,6.503789077
1,25,10,13,0
1,20,0,5,8.805025228
1,20,4,6,0
1,15,4,6,0
1,20,7,6,0
1,30,0,12,6.285465913
0,21,10,6,7.360376575
0,23,4,12,0
1,18,4,8,0
0,21,4,7,7.343720229
1,26,0,6,7.824445931
1,30,4,6,8.853808275
1,26,10,7,7.70671285
0,26,10,8,0
1,30,4,7,7.265129966
1,18,4,2,0
0,23,7,3,6.646690176
1,14,10,11,5.303304908
1,15,4,8,7.026426809
1,30,0,3,7.360376575
1,30,0,7,0
1,30,7,2,6.621405652
0,18,0,10,0
1,14,12,7,7.170888479
1,30,0,13,9.43356392
1,20,7,11,7.488133588
1,20,10,4,6.216606101
1,27,4,11,0
1,29,0,4,8.294299609
1,25,4,8,6.467476833
1,20,4,7,5.880931937
1,18,7,5,0
1,15,0,6,0
1,24,4,9,7.50792528
1,15,0,7,7.0627627
1,17,0,8,0
1,20,0,9,0
1,14,12,6,0
1,18,10,7,0
1,23,4,11,9.570412848
1,16,0,5,0
1,18,0,10,0
1,18,4,8,0
1,17,7,4,6.726632978
1,20,7,3,0
1,15,4,5,0
1,15,12,7,0
1,25,10,6,7.601402335
1,25,7,3,8.517393171
1,19,7,7,0
1,30,0,0,6.908754779
0,17,4,10,7.544273332
1,25,4,7,8.006700845
0,30,15,10,0
1,14,4,5,5.121977912
1,29,7,5,9.680406499
1,18,4,6,0
1,16,4,5,0
1,15,4,5,0
0,29,4,6,0
0,30,0,3,7.265129966
1,28,0,7,6.803505258
1,25,10,7,6.521462322
1,19,4,12,0
1,21,7,6,8.922791624
1,29,4,5,6.484400293
0,14,4,5,5.303304908
1,14,10,6,0
1,25,7,2,7.33918799
1,20,4,13,0
1,22,10,8,0
0,21,10,3,4.968820774
0,16,4,7,0
1,14,10,5,0
0,14,0,5,5.589742387
1,30,4,6,8.517393171
1,25,7,7,9.567085284
1,25,4,3,6.216606101
1,25,4,5,8.922791624
1,29,4,6,6.908754779
1,25,4,7,6.216606101
1,29,4,3,6.572682051
0,28,0,5,5.869130691
1,18,7,3,0
0,28,10,7,6.672632378
1,15,0,7,0
0,18,4,8,0
1,26,4,6,0
1,22,7,7,7.419180698
1,25,0,4,0
1,15,4,6,0
1,25,4,8,0
0,20,4,13,0
1,30,10,10,7.488133588
1,16,7,8,0
1,15,7,6,0
0,21,7,8,6.965857651
0,22,10,6,6.908754779
1,21,4,2,0
1,14,7,5,0
1,22,0,6,5.303304908
1,20,4,6,5.303304908
1,16,4,3,7.13169851
1,30,4,13,0
1,22,4,14,11.28979441
1,14,7,5,0
0,23,7,7,6.503789077
1,19,0,6,0
1,20,7,2,6.42387119
1,17,4,9,0
1,30,7,7,9.472781557
1,28,0,7,6.503789077
1,21,0,9,0
1,28,4,4,6.034683642
1,16,4,5,6.503789077
0,19,7,9,8.517393171
1,26,4,8,6.908754779
0,25,10,10,8.517393171
0,16,0,5,0
1,18,7,5,6.908754779
1,21,7,6,6.516193076
1,14,4,5,0
0,19,4,9,8.517393171
1,19,10,10,7.265129966
1,27,0,7,6.034683642
1,30,10,5,0
1,22,4,7,7.090909822
1,25,4,7,6.908754779
1,16,10,9,0
0,18,15,10,0
1,18,4,6,0
1,30,0,5,0
1,22,4,6,7.601402335
1,25,4,3,0
1,20,10,7,7.824445931
0,25,7,6,6.908754779
1,18,10,11,0
1,14,10,7,0
1,20,7,7,6.321766972
1,16,4,5,0
1,25,4,5,6.705381399
1,20,4,11,0
1,16,7,5,0
1,29,10,14,10.01273163
1,18,4,9,0
1,26,4,9,7.824445931
0,16,4,6,0
1,17,0,5,0
1,28,0,9,7.419180698
1,19,10,6,0
1,16,7,9,0
1,15,7,6,0
1,24,7,5,0
1,15,4,9,6.908754779
1,16,0,6,0
1,19,7,7,0
1,21,4,5,6.908754779
1,30,0,3,6.667865151
0,25,4,13,0
0,25,7,5,7.824445931
0,14,4,7,0
0,20,4,11,0
0,15,4,6,0
1,20,10,11,8.294299609
0,14,4,6,5.121977912
1,20,10,0,0
1,23,10,15,0
0,16,7,6,6.754770616
1,25,10,8,0
1,18,4,5,7.419180698
1,26,7,5,7.70671285
0,26,4,9,8.294299609
0,25,0,4,6.621405652
0,22,7,3,0
0,30,0,3,5.81213853
0,18,7,11,0
1,30,0,7,6.216606101
1,20,0,3,0
1,30,4,4,0
0,25,10,11,7.265129966
0,18,4,3,6.726632978
0,17,4,4,0
1,30,4,6,6.572682051
1,26,0,6,7.601402335
0,18,4,6,8.699681401
0,30,4,13,0
1,19,7,5,7.313886832
0,22,4,10,0
0,20,4,9,0
0,25,10,6,8.999154823
1,25,10,3,6.795545938
1,29,7,4,6.083359812
0,19,10,7,7.419180698
1,23,4,6,7.601402335
0,25,0,7,5.880931937
1,14,7,4,0
1,29,12,11,9.097123665
0,24,7,13,0
1,27,12,7,5.75347923
0,23,0,7,0
1,25,4,0,6.908754779
0,17,0,7,6.572682051
0,15,4,6,0
0,18,12,9,0
1,26,10,6,5.476861989
0,16,7,5,0
0,16,10,7,0
1,24,7,5,0
1,30,7,5,9.210440367
0,16,7,3,6.908754779
0,25,4,7,7.13169851
0,20,4,5,7.601402335
1,22,7,3,7.824445931
1,20,7,7,0
0,18,7,5,7.601402335
1,18,4,5,0
1,16,4,5,0
0,25,4,7,6.572682051
0,20,10,9,7.521401252
1,29,4,4,0
0,25,4,6,0
1,17,4,6,0
0,20,10,7,7.313886832
0,16,7,6,8.412054873
0,17,10,10,0
0,29,0,11,0
0,14,12,7,0
1,27,10,10,6.398594935
1,21,4,4,7.824445931
0,22,4,11,0
0,26,10,3,9.210440367
1,25,4,7,0
0,15,4,7,8.517393171
0,14,4,5,0
1,27,10,13,0
1,27,4,6,0
0,14,4,6,0
0,25,4,7,7.13169851
1,14,7,5,0
1,15,7,7,6.908754779
1,16,4,7,7.378383713
1,24,4,9,7.95792733
1,15,4,4,0
1,19,4,10,0
1,24,4,12,9.852246888
1,22,10,7,7.397215161
0,15,4,6,6.908754779
1,14,7,5,6.216606101
1,18,4,10,6.908754779
1,15,15,8,0
0,14,7,5,0
1,15,10,7,0
0,18,4,10,0
0,14,4,4,0
1,18,7,9,0
0,14,0,7,7.13169851
1,17,0,10,0
0,14,4,5,0
0,20,7,6,5.81213853
1,28,7,6,6.646690176
0,14,0,4,0
1,18,0,10,0
0,14,7,6,0
0,15,4,5,5.707110265
1,18,0,7,0
0,15,7,5,6.467476833
1,19,4,10,0
1,30,4,6,0
0,14,0,4,5.707110265
0,25,0,0,6.908754779
1,14,0,6,0
1,28,7,5,0
0,17,4,7,0
0,15,12,6,4.795790546
1,23,4,3,0
0,16,4,7,0
1,25,7,11,0
0,15,4,4,0
1,30,12,7,8.160803921
1,26,7,4,8.112028014
1,17,0,9,6.398594935
1,20,4,4,0
1,18,4,7,5.004940091
1,15,10,6,0
0,18,4,4,0
0,14,7,6,0
0,14,7,7,0
0,16,7,7,0
1,25,7,4,0
0,30,15,13,8.422102997
1,20,4,3,6.572682051
0,25,0,8,5.81213853
1,28,4,2,6.062788064
0,14,4,5,0
0,19,0,2,0
0,14,4,7,0
1,15,7,4,0
0,28,10,10,9.274972669
1,20,4,7,0
1,21,7,3,6.370471561
0,17,0,7,8.650899557
1,28,4,4,8.217358538
1,19,0,11,0
0,30,4,7,9.79021485
0,19,0,7,6.621405652
1,27,4,7,7.313886832
1,25,4,6,6.216606101
0,20,10,8,6.795545938
0,28,12,7,8.006700845
0,23,7,13,6.034683642
1,29,7,7,7.978539517
1,15,4,5,7.090909822
1,22,4,5,7.670361905
0,18,7,13,0
1,30,10,7,6.726632978
1,29,4,10,7.496097345
1,21,10,8,6.969320635
0,18,12,10,0
1,25,10,6,6.908754779
0,14,4,5,6.908754779
0,17,7,6,6.908754779
0,17,4,10,7.681406637
0,19,10,2,5.880931937
1,29,10,3,9.903537551
1,22,7,6,0
1,25,10,7,6.349887992
0,17,0,10,0
0,28,4,6,0
0,19,10,13,0
0,14,12,4,0
1,16,7,9,0
0,20,7,10,0
0,20,4,6,6.285465913
1,15,4,6,7.313886832
1,26,4,7,5.975988273
1,17,4,10,0
0,14,7,5,0
0,19,7,11,0
1,20,7,13,0
0,22,7,11,0
1,25,4,6,8.22977775
1,15,7,5,5.017279837
0,20,4,9,0
1,26,0,0,6.216606101
1,18,7,10,0
1,18,12,12,0
0,30,4,10,6.977681065
1,20,12,7,8.517393171
0,17,4,9,0
0,23,4,4,6.398594935
1,27,10,5,7.670361905
1,18,10,11,0
1,19,0,9,0
1,30,10,6,6.034683642
0,14,4,5,0
1,14,4,5,0
0,16,7,6,0
0,15,10,9,0
1,23,4,13,0
1,25,7,7,6.216606101
1,22,4,8,7.650168701
1,30,4,2,6.908754779
0,28,10,5,0
1,14,4,5,7.196187101
1,28,4,7,0
1,16,4,5,8.006700845
1,30,4,3,8.517393171
1,15,4,7,0
1,27,4,7,0
0,21,4,5,8.987321813
0,16,7,10,7.313886832
1,22,4,7,7.888959492
1,25,10,9,8.006700845
1,26,7,10,7.601402335
0,23,12,2,0
1,22,4,7,7.95792733
1,28,4,11,0
0,19,4,10,0
1,18,4,9,7.824445931
1,16,7,7,8.006700845
1,24,7,4,7.670361905
0,14,10,6,0
0,26,10,13,8.006700845
1,22,15,13,8.363275834
0,18,4,10,0
0,17,4,11,6.908754779
0,17,4,10,7.744436575
1,26,4,11,7.265129966
1,14,4,6,0
1,17,10,7,8.805025228
1,19,4,5,7.86954869
1,24,10,7,5.525452939
0,28,4,3,0
1,17,0,5,0
0,21,12,10,9.721225955
1,17,0,5,8.22977775
0,24,7,9,8.188966864
0,15,0,7,8.699681401
0,16,4,6,7.467942332
1,20,10,7,5.707110265
0,20,0,1,0
0,18,15,13,8.343077871
0,20,4,11,7.196187101
1,18,4,4,7.601402335
1,16,10,10,0
1,25,4,7,6.503789077
1,15,12,10,7.85260566
1,18,7,10,9.210440367
1,22,4,13,8.006700845
0,28,10,14,0
0,26,4,14,7.824445931
0,16,12,7,0
0,22,4,9,6.977681065
0,16,7,7,0
1,24,0,2,6.908754779
1,22,4,4,6.285465913
1,18,7,13,7.196187101
1,30,10,8,7.670361905
1,23,7,9,0
1,24,10,6,6.572682051
1,19,10,10,7.419180698
0,21,7,13,6.775366091
1,25,4,11,0
1,20,4,4,4.062903027
0,14,7,6,7.901377354
1,14,10,5,6.216606101
0,28,7,8,0
1,20,7,6,6.216606101
0,30,4,7,0
1,24,4,6,0
1,17,7,8,0
0,28,10,7,6.977681065
1,24,7,8,8.006700845
1,27,4,15,0
1,15,7,4,0
1,21,10,6,7.601402335
1,16,4,7,0
1,28,4,7,5.303304908
0,21,7,7,6.977681065
0,16,4,11,0
1,19,12,5,8.555893844
0,29,4,4,8.448414548
1,15,15,7,9.318643721
0,30,4,5,8.517393171
0,18,10,10,8.006700845
0,27,4,6,8.112028014
0,26,7,16,7.95792733
1,30,4,4,6.908754779
1,25,4,3,8.22977775
0,25,10,7,7.710549952
0,26,10,5,8.006700845
0,15,7,6,6.59896303
0,14,4,3,0
1,20,12,6,6.572682051
1,21,12,7,6.572682051
0,22,4,7,8.006700845
0,23,10,8,11.33061594
1,23,7,3,0
1,14,7,5,6.908754779
0,28,0,0,0
1,27,4,4,5.303304908
0,18,4,9,0
1,15,0,3,0
0,22,4,10,6.349887992
0,28,7,4,8.74049673
0,15,10,7,0
1,14,4,3,6.062788064
1,28,10,13,6.754770616
1,24,0,7,7.783640596
1,24,12,12,7.33918799
0,14,0,5,0
0,19,7,7,7.601402335
0,28,10,13,9.210440367
0,18,7,3,0
1,20,0,6,6.285465913
0,19,10,11,0
1,21,12,6,6.646690176
1,27,4,6,7.265129966
0,20,10,7,8.294299609
0,25,4,10,9.210440367
0,26,7,13,6.977681065
0,15,12,5,0
0,26,7,11,0
1,23,7,7,6.685860947
0,30,0,3,8.294299609
1,23,7,3,8.006700845
1,27,4,7,8.517393171
0,14,4,5,0
0,14,4,7,0
0,14,7,7,8.699681401
0,22,7,11,0
0,15,10,5,0
1,25,4,6,8.294299609
1,25,4,9,6.398594935
1,15,4,7,0
1,16,7,7,8.112028014
0,28,15,15,10.81979828
0,15,7,7,7.419180698
1,23,4,8,8.586372751
1,26,10,15,9.455541054
1,15,4,7,0
1,17,4,5,6.908754779
0,19,4,10,6.795545938
0,25,7,2,8.363275834
1,28,4,5,8.22977775
1,18,10,13,0
1,22,4,10,5.738260561
1,22,0,5,8.412054873
0,22,7,10,7.524481248
1,16,10,6,8.517393171
1,19,7,4,7.601402335
0,24,10,10,7.670361905
0,30,10,7,8.699681401
0,28,10,16,10.1266711
0,27,10,10,7.514436411
1,20,7,2,8.294299609
1,19,7,10,7.601402335
0,20,4,6,7.313886832
1,20,10,7,7.670361905
1,28,10,11,7.95792733
1,21,10,13,0
0,25,10,10,0
0,15,4,8,5.880931937
0,17,7,6,0
0,26,7,13,0
0,15,10,5,7.755481584
0,20,4,6,6.908754779
1,26,4,5,9.903537551
0,15,10,5,6.908754779
0,14,7,5,6.216606101
0,17,10,10,6.908754779
0,28,7,7,6.908754779
1,19,7,7,7.265129966
0,18,7,8,6.908754779
0,20,7,7,6.908754779
1,21,10,9,8.160803921
1,25,4,4,8.354909528
0,14,10,8,0
1,18,7,3,6.726632978
0,20,4,7,6.726632978
0,30,4,9,6.908754779
1,17,4,5,0
0,18,15,7,6.908754779
1,16,4,9,0
0,23,10,13,6.908754779
1,18,15,9,0
1,22,12,10,0
1,28,7,6,6.034683642
1,22,15,13,8.987321813
0,17,10,9,0
0,21,10,11,0
1,20,10,8,8.517393171
1,25,0,3,7.39387829
1,17,4,2,7.378383713
0,17,10,7,6.908754779
1,30,0,5,0
0,14,4,4,0
1,30,10,5,7.755481584
0,17,7,7,0
0,16,10,6,7.196187101
0,17,7,7,7.601402335
0,22,7,8,7.70671285
1,14,7,6,6.478509642
1,17,4,11,7.601402335
1,21,10,10,7.419180698
1,14,10,6,7.244941546
1,15,10,7,6.552507887
0,23,4,9,8.517393171
0,19,12,11,0
1,19,4,11,9.210440367
0,22,4,12,0
0,14,4,6,0
1,18,7,6,7.467942332
0,26,7,4,6.908754779
0,15,10,7,6.552507887
0,18,4,11,0
0,18,4,10,0
1,17,4,10,8.374323128
1,19,7,10,7.601402335
1,22,0,10,7.95792733
1,18,7,11,0
1,19,0,5,8.032010329
0,26,12,16,7.95792733
1,29,7,6,8.112028014
0,17,4,5,0
0,16,7,2,7.719129841
0,18,7,8,0
1,19,10,11,6.685860947
1,16,7,9,0
1,21,7,5,5.190573047
1,28,10,2,7.670361905
1,25,0,9,7.824445931
1,24,10,5,0
1,24,4,7,7.13169851
0,17,4,7,0
0,28,12,10,7.265129966
0,17,4,12,0
1,16,12,8,6.646690176
1,20,0,9,6.977681065
1,23,7,6,5.264283186
0,22,4,7,8.217358538
1,19,7,11,0
1,25,4,10,0
0,20,4,12,0
1,23,7,11,8.74049673
1,20,7,7,6.726632978
0,29,4,0,0
0,15,7,7,6.908754779
1,18,4,6,7.601402335
